#{"t_start": 1641595599.0583415, "env_id": null}
r,l,t
-6.858518,4,6.89708
8.835152,652,62.191494
-7.001,1,62.483082
-7.001,1,63.922846
-17.376523,652,112.197046
-15.397347,284,128.178876
-8.748039,652,195.20591
-9.610082,83,199.981157
-4.532781,95,209.936417
-11.566853,652,261.133054
-7.001,1,261.413096
-7.001,1,262.013299
2.53342,652,300.659309
-6.350703,44,307.874051
-8.038317,76,313.302893
-7.001,1,313.97332
-7.998486,19,315.777881
-7.3344,418,348.61865
-6.755643,652,394.455487
-10.287133,652,434.113502
-2.733292,384,464.446754
-6.970121,109,471.891921
-7.001,1,472.650177
-7.001,1,473.897323
-2.978464,332,498.142154
-7.707865,332,522.939471
-0.346943,652,567.395617
0.338654,328,613.348301
-0.030408,278,633.007811
7.802071,652,676.69884
-7.312873,7,677.206485
-7.001,1,678.594373
8.71745,652,721.033612
14.774704,652,770.477169
-7.319025,293,789.984322
-7.021,3,790.946847
-3.171995,352,815.006395
-7.001,1,815.410512
-2.427689,348,841.915973
-7.001,1,842.168604
-4.5243,293,861.219326
-1.491284,503,898.858525
-1.625126,205,915.789639
3.496267,652,958.949412
0.799018,617,1001.338763
-3.201811,296,1020.80622
-3.697905,129,1029.195339
-7.001,1,1029.826993
-7.001,1,1030.090844
-2.640591,156,1042.306718
-7.001,1,1043.1491
-6.138968,31,1044.960411
1.875613,305,1071.820538
18.195828,652,1121.120603
0.444942,337,1151.906718
5.753477,652,1202.311466
1.864042,190,1217.17384
3.19835,300,1238.812149
11.168054,541,1284.022685
2.355436,249,1304.227307
-7.001,1,1304.549906
10.611181,598,1351.441112
-3.62217,85,1357.566787
-6.498143,31,1362.871688
-6.025139,51,1366.018067
-0.517176,235,1383.793471
4.186562,516,1425.50316
6.691063,309,1451.993952
-7.001,1,1453.609304
2.9047,204,1469.012152
-4.19659,47,1472.047202
-7.780246,29,1474.375049
-7.001,1,1474.658067
-7.001,1,1474.943439
17.10955,652,1526.040539
2.056805,233,1548.719285
-3.30365,118,1561.109182
-10.575743,76,1568.09814
5.418746,443,1602.59647
-7.001,1,1603.290513
8.98695,441,1632.166042
-7.001,1,1633.277267
3.03777,315,1663.899918
4.558684,228,1681.014311
-2.616704,355,1712.483316
-5.074205,48,1716.205051
-9.564514,52,1722.076106
6.399817,409,1749.750325
-6.963428,2,1750.428746
-3.451075,113,1761.004169
-0.599554,239,1777.909945
-5.93109,59,1781.698521
2.45194,259,1801.938345
-8.638871,31,1803.965229
0.013646,526,1850.785254
16.360061,391,1880.846845
3.647645,183,1896.924951
5.864298,636,1945.913266
-6.833736,43,1949.811669
2.210472,176,1960.767755
3.305164,176,1972.648816
-5.068593,269,1989.904521
-7.138767,62,1996.512347
-7.001,1,1998.26936
-3.304889,59,2004.420742
-5.184216,549,2050.130498
34.183309,394,2076.966683
-10.970112,76,2082.143719
-6.922372,3,2082.91059
-7.001,1,2083.577409
-3.156899,67,2088.77581
-7.522301,6,2091.388009
-7.100321,20,2092.606951
-7.001,1,2093.592168
-6.785867,6,2094.132192
-1.906501,157,2110.994642
4.298975,237,2134.48816
0.409397,208,2152.387421
-4.648946,368,2180.938516
18.012033,441,2213.743242
-1.736737,105,2223.053732
-8.592743,32,2224.915063
-7.001,1,2225.199542
-3.129918,66,2229.300205
-7.001,1,2229.546855
3.956568,268,2253.030379
-7.001,1,2255.71793
-7.001,1,2256.632574
-7.001,1,2257.273212
4.117594,217,2279.393896
10.560162,376,2306.53546
18.640971,652,2349.964832
-7.011,2,2351.083864
-7.001,1,2351.356198
-7.902815,36,2354.156031
