#{"t_start": 1642787843.3165288, "env_id": null}
r,l,t
-2.486773,652,47.054103
-8.220216,652,87.188596
-7.285566,266,102.697851
0.632733,652,147.241679
-6.760997,4,147.693481
-7.049959,608,189.634083
-1.359367,652,235.140027
-7.583141,88,242.767978
-7.001,1,243.799659
-2.096085,652,288.979258
2.301165,652,334.270775
-7.001,1,334.499883
-5.852174,148,343.813008
-7.024512,577,381.127206
2.12783,652,427.402442
-7.001,1,427.679189
-6.189133,445,453.535637
-7.001,1,454.594157
-7.001,1,454.823831
0.820323,652,491.960492
-7.001,1,492.883075
-0.557352,652,538.074842
-6.540178,140,549.566007
-4.630508,270,568.832762
4.423685,652,611.328897
-7.001,1,611.595422
-7.001,1,611.887744
-6.291653,156,626.373115
-4.847826,235,641.942798
-7.001,1,642.166492
4.169426,652,680.195607
-7.001,1,680.898514
-6.776643,6,681.415415
-6.64061,55,688.858799
-7.001,1,689.082671
-7.001,1,691.39863
-6.458713,51,694.512715
-7.001,1,694.724305
-7.418448,19,696.482303
-5.402593,69,700.641896
4.418215,587,737.579946
-5.548789,413,765.120807
-7.04457,6,765.585929
-6.86357,74,770.380609
-2.304779,652,825.721029
2.194763,652,865.211642
-1.340634,411,894.84609
-2.772344,266,910.580991
-7.347242,174,922.634719
5.915172,652,967.756668
3.099034,652,1009.40487
-0.936806,550,1044.629837
-1.121825,569,1081.011407
-4.108466,519,1119.631833
-2.930489,381,1144.297018
-7.032854,3,1144.665646
-7.001,1,1144.898623
0.89473,504,1179.59759
5.197424,652,1222.378774
-7.001,1,1223.418793
-7.001,1,1224.093456
-4.540576,87,1230.298001
9.708587,652,1275.58888
-2.700559,247,1292.846707
-7.001,1,1293.440952
-7.001,1,1293.711059
12.144689,652,1342.075713
-5.237972,73,1346.395732
8.637645,591,1387.411288
-1.096272,272,1403.469346
-7.001,1,1404.08854
-3.755451,137,1412.424256
-5.809746,31,1414.423483
-6.93647,5,1414.917473
-3.672781,174,1426.436641
-7.001,1,1427.498356
-4.35795,186,1441.012028
6.450906,652,1491.121148
-7.001,1,1491.37774
-7.001,1,1492.07848
2.373795,628,1542.983944
-7.111475,2,1543.667468
11.158967,652,1592.302938
16.336076,652,1637.98746
-4.170943,84,1644.353306
9.509223,652,1691.44786
3.979447,322,1720.606218
-7.001,1,1721.736793
-4.546971,94,1727.96518
-6.903792,24,1729.715475
-7.001,1,1730.046384
-2.545993,298,1752.935992
-4.031016,66,1758.063083
-6.455083,48,1764.483824
-6.726228,86,1769.835989
-7.001,1,1770.138546
