#{"t_start": 1642007554.9240382, "env_id": null}
r,l,t
-6.717382,49,11.11749
3.772078,382,44.085884
-11.115851,317,77.737121
0.71892,652,123.318243
-12.170585,161,136.498506
-7.001,1,136.791264
-4.66559,173,149.02126
-7.001,1,149.355094
-13.02686,617,200.843631
7.442301,652,250.54884
-7.001,1,251.050084
-5.972208,308,273.150986
-7.001,1,273.831586
-6.520337,26,276.500763
-7.001,1,277.65087
-10.094169,61,285.019137
-12.839808,122,290.785854
-4.935312,179,306.850134
-10.648709,582,346.909158
-5.880514,542,386.167405
-7.450524,29,388.540732
-9.524996,199,406.059686
-8.890926,32,407.942114
-2.662769,171,421.337592
-4.643953,104,426.399919
-3.585641,221,439.462418
-8.965323,37,441.954901
-7.001,1,442.280837
-5.310029,50,445.47325
2.69896,652,489.237311
-4.000316,557,527.988626
-0.317732,295,546.597019
-4.219622,112,554.593236
3.907285,652,600.028807
-7.001,1,600.282325
-6.177451,96,604.853625
-7.001,1,605.684556
-9.546065,57,611.869245
-2.207524,652,661.10717
-8.989807,538,697.741408
4.616798,353,721.917898
6.04624,643,766.650879
-0.434197,280,783.657255
-7.001,1,783.98553
-2.019209,319,805.207743
-16.328865,212,818.97812
8.244673,537,860.426607
-3.93158,193,875.894873
-7.45766,13,877.30979
15.321876,147,887.692822
-7.001,1,888.760212
-6.505578,81,896.923816
-7.959245,58,902.945185
-3.315357,178,918.247922
-5.623548,78,925.532631
-10.650637,86,934.20201
6.979077,603,979.855637
-7.815651,36,981.78118
-6.385654,94,989.910282
2.62752,644,1040.172272
-7.001,1,1040.396881
7.550934,416,1069.380666
0.374502,318,1089.325155
-5.164662,260,1107.169162
-7.011,2,1107.79194
-8.445941,40,1112.290586
-0.669063,380,1140.129265
-7.001,1,1140.418426
-7.001,1,1141.117453
-6.705045,12,1142.400021
-5.410667,93,1150.215242
-7.001,1,1152.492603
-7.001,1,1152.795496
-7.001,1,1153.475966
-7.001,1,1154.141388
2.871798,287,1175.927378
-4.893358,244,1196.556514
-0.181056,116,1209.053086
-7.001,1,1209.28832
-7.001,1,1209.953901
-8.684326,103,1217.102395
11.688635,652,1264.287364
2.963393,313,1286.704461
1.837901,165,1296.312142
3.932592,283,1315.454466
0.793017,169,1327.986038
5.250728,342,1350.33717
-1.535333,184,1363.422742
-7.001,1,1364.036106
-2.092635,107,1372.967818
-7.001,1,1374.390328
-8.565372,232,1388.857355
-6.752283,182,1404.987866
10.842929,356,1443.48421
-7.001,1,1444.448317
-7.001,1,1445.061291
1.803423,209,1462.611912
-0.029187,176,1478.128923
10.469657,652,1528.955945
3.200564,196,1547.55893
-7.001,1,1548.143447
-12.364726,635,1607.5611
-6.821205,3,1608.394889
4.440215,652,1657.622113
-4.241339,78,1663.569713
-6.921061,147,1672.102933
-2.470319,247,1691.729877
-10.381202,149,1703.385915
-7.027479,21,1705.895098
-7.001,1,1706.213204
-6.290582,52,1711.332622
-5.72588,44,1715.884207
-6.97445,6,1716.702036
-5.275203,42,1721.759863
4.822707,574,1770.803796
26.292883,623,1817.381987
-1.787794,143,1828.138596
5.757748,272,1850.31828
-7.397752,85,1857.680099
-7.001,1,1859.097443
1.751131,579,1907.784089
5.806403,359,1932.889815
-7.001,1,1933.547616
-2.118817,85,1939.802029
-0.64071,122,1954.06577
1.092254,147,1964.480069
22.850883,568,2011.983667
-6.222619,17,2013.508621
-7.001,1,2013.779954
0.249221,181,2025.850138
22.390019,573,2074.791029
-7.001,1,2075.047149
-0.715757,93,2081.87351
-7.001,1,2082.154683
-7.001,1,2082.869033
2.500497,165,2094.951154
3.35363,165,2111.99476
7.455463,241,2130.436201
6.332259,201,2150.31954
-8.141766,148,2165.510791
-6.23725,19,2167.435595
-2.270383,78,2173.061862
-3.455334,67,2177.312783
-7.001,1,2177.588137
-7.180319,133,2186.282552
12.81811,309,2213.835728
0.360316,106,2221.285012
-6.354666,21,2223.055069
7.87475,299,2249.313643
29.052037,650,2305.762537
-7.001,1,2305.997143
-3.601622,57,2309.604354
-2.489254,79,2319.182324
-7.001,1,2319.827491
-9.051251,158,2331.425441
19.058869,391,2358.545902
-6.978859,4,2359.021054
2.69326,270,2378.197614
4.799019,203,2400.434604
-2.195234,197,2415.501338
-0.890891,127,2430.764447
-7.001,1,2431.433056
-2.538649,64,2436.300444
-2.285459,260,2453.279229
-7.001,1,2453.96058
-2.817388,92,2462.079567
-3.193772,81,2470.117869
-7.001,1,2470.346547
-3.28839,54,2477.649047
-7.887802,99,2483.372591
-1.463073,213,2501.917024
-5.388186,103,2510.200851
-7.043919,3,2511.419345
-2.874799,64,2517.867172
5.447761,198,2536.196064
-7.001,1,2536.445608
-2.571053,68,2544.533331
6.476112,639,2588.485914
-0.193341,120,2597.659843
-7.001,1,2597.935997
1.620047,141,2611.437494
-7.001,1,2612.053986
-7.001,1,2612.646063
-6.0849,26,2618.666755
-7.001,1,2618.893611
20.380652,401,2655.306982
11.268104,637,2704.616842
-7.001,1,2705.588084
-9.521059,32,2708.608341
-7.184963,3,2709.423086
0.925955,131,2717.479007
0.422198,145,2728.829174
-1.440253,93,2737.034108
-8.437565,60,2740.05201
-7.001,1,2740.671
