#{"env_id": null, "t_start": 1641713476.4368489}
r,l,t
-12.014284,20,7.811064
-7.001,1,8.679244
-22.563352,164,35.729131
-9.768107,22,38.945865
-3.057307,32,42.636882
-7.240197,6,43.955067
3.03464,215,72.160989
-2.137379,24,75.136869
-2.232034,36,84.46603
-6.95158,5,84.991
-7.001,1,85.690973
-11.052522,20,91.073149
-1.084305,98,108.844994
-7.001,1,109.564129
-29.010618,146,127.934666
-25.85105,246,167.016387
-7.001,1,167.385359
-7.001,1,167.709879
-19.946712,57,175.722631
-4.765058,91,189.939118
-1.98541,57,197.035236
-2.508669,39,204.405047
-13.898542,120,221.967707
-37.492716,221,255.59908
-7.001,1,256.440558
-33.260963,510,327.203126
-11.140151,652,410.267558
-6.807698,21,412.5295
-7.001,1,412.906712
-8.279033,279,444.629157
-4.35182,21,449.330505
-6.591291,17,450.850334
-7.001,1,451.486051
-7.001,1,451.831721
-0.223338,82,462.138355
-2.545382,246,491.08708
-16.612672,59,500.241631
-25.069985,338,551.229266
-16.128133,194,575.821087
1.255984,107,592.957932
-10.669247,23,595.263891
-7.001,1,596.073092
-7.001,1,596.996518
-20.536948,117,614.825332
1.304242,130,629.518965
-8.132224,65,637.118132
-6.991795,24,640.444303
-6.401711,3,641.402345
-2.117524,62,649.581621
2.60154,253,679.724784
-7.001,1,680.869273
-7.001,1,681.216012
-19.712275,149,699.786812
-15.936815,66,707.681915
-6.87595,15,709.741326
-6.751011,6,710.569258
-20.153278,175,732.698147
-5.821095,81,744.422239
-7.021,3,745.041158
-12.578237,66,754.323248
-11.90454,211,779.981681
-12.309981,652,854.819449
-13.134767,652,932.841088
-5.845961,50,939.823658
-14.086474,59,947.390092
-8.677627,73,956.022349
-20.294164,170,972.81971
-7.001,1,973.57021
-7.001,1,974.51032
-11.457506,274,1006.184851
-9.896779,652,1086.249572
-5.985685,20,1089.505268
-11.03605,652,1162.182753
-6.502361,9,1163.621917
-19.579147,652,1236.548388
-1.891376,81,1245.986439
-11.498496,153,1262.424344
-10.239079,652,1337.517701
-7.001,1,1338.238429
-6.851766,652,1406.140164
2.519599,652,1477.825621
-1.7643,652,1548.600851
4.761322,652,1619.666406
-4.522732,652,1686.517598
-6.531884,652,1757.077818
-8.266194,652,1829.525255
-2.830275,652,1899.216846
-4.489048,652,1965.96508
-6.847192,652,2036.147074
-5.068998,75,2044.19804
-10.282228,171,2062.272228
-7.001,1,2063.197898
-8.934569,652,2133.861083
