#{"t_start": 1642956403.7686477, "env_id": null}
r,l,t
-12.462893,219,35.395656
-19.719339,228,62.185274
-16.020522,614,138.966417
-15.658521,234,166.987782
-9.294912,10,168.134469
-12.390718,283,199.917649
-6.82421,7,201.211091
-3.063683,114,215.925714
-7.001,1,216.352863
-11.178841,155,233.307394
-7.001,1,233.7531
-2.572862,62,241.300318
-7.001,1,241.637117
-17.87569,652,312.641825
-11.632401,652,388.887923
-4.864599,116,401.621639
-7.001,1,401.994531
-19.403493,652,474.442818
-5.399646,112,486.708988
-8.407003,17,489.648089
-7.001,1,489.935699
-5.765016,55,496.0845
-10.700431,652,574.678127
-18.776813,217,601.167328
-7.001,1,601.951311
-7.001,1,602.290817
-5.501201,11,604.295859
-7.001,1,604.621717
-3.725405,51,610.638793
-35.276331,652,687.179775
-9.398186,256,717.48455
-7.001,1,717.806493
-10.462251,27,723.35467
-3.920401,145,743.593481
-7.001,1,744.039677
-7.78434,20,746.339679
-13.66139,83,755.840088
-8.672463,72,762.228174
-7.001,1,762.873004
-11.777918,166,782.8357
-17.99328,342,823.410827
-7.001,1,824.080778
-16.572027,652,893.548794
-7.001,1,894.229688
-7.001,1,895.323242
-7.526912,14,897.957109
-18.201547,652,973.424476
-31.839065,612,1044.748347
-7.001,1,1045.107208
-13.818917,104,1057.935013
-7.129948,16,1060.663363
-2.772903,109,1073.192086
-7.983456,652,1144.637157
9.999,1,1144.924773
-34.045628,562,1209.135856
-38.129979,582,1271.644558
-5.321731,310,1304.4061
-12.436497,652,1380.365509
-18.295982,422,1424.436385
-6.275552,17,1427.019046
-22.17987,295,1465.208091
-7.031616,101,1476.661969
-7.415772,15,1478.457968
-7.001,1,1479.310075
-7.001,1,1480.199145
-5.99943,20,1483.582269
9.999,1,1483.885708
-7.001,1,1484.634475
-12.566488,68,1492.419974
-14.9973,652,1563.063345
-10.819289,652,1640.55614
-13.260653,211,1665.076291
-4.528942,28,1667.688836
-10.883363,258,1696.667517
-20.829722,405,1742.284326
-7.001,1,1743.061289
-10.066962,417,1791.973353
-7.106773,5,1792.596042
-15.370278,652,1866.180035
-7.001,1,1866.852633
-12.899295,70,1873.272137
-9.539284,8,1874.706314
-7.799997,9,1876.399504
