#{"env_id": null, "t_start": 1640507984.031405}
r,l,t
-4.306902,76,3.304755
-21.71019,297,6.100025
-36.48044,298,9.147051
-3.208836,38,9.662498
-26.336538,404,13.738953
-12.124291,109,14.991619
-30.446794,315,18.19677
-30.491683,172,19.70098
-16.711188,96,20.669706
-19.208432,102,21.665174
-5.928216,10,21.875132
-7.001,1,21.995106
-3.087063,23,22.348612
-7.001,1,22.463701
-11.769971,120,23.583637
-5.100032,7,23.736719
-7.395303,7,23.89682
-10.367058,46,24.655075
-23.285371,503,29.144825
-18.689792,652,35.10995
-15.767024,161,37.262136
-8.460641,214,39.342131
-17.919601,87,40.200909
-7.026596,12,40.447628
