#{"t_start": 1640654088.279838, "env_id": null}
r,l,t
-2.700578,29,9.842313
-7.001,1,10.554451
-17.973828,138,30.596675
-7.001,1,31.371263
-12.787327,385,83.052815
-7.555209,369,125.759353
-21.671763,101,135.5693
-6.082385,7,137.591337
-7.256057,6,138.681201
-6.716618,3,139.685596
-7.001,1,140.466554
-23.685311,169,161.834156
-22.092351,166,184.791872
-6.5917,168,207.455585
0.121038,102,219.390862
-7.001,1,219.809448
-12.884265,33,225.970714
-7.001,1,226.321521
-12.716937,101,240.375702
-2.578501,85,252.1145
-9.721611,64,262.901865
14.874914,39,268.518008
-28.325599,340,311.837882
-10.241846,76,321.018884
-31.596923,376,361.546469
-1.743842,105,373.68142
-14.320468,652,441.199557
-7.001,1,441.976432
-13.110305,92,452.224606
-21.680659,440,494.38918
-6.152006,601,559.945489
-8.879859,460,605.931944
-6.260125,101,616.774831
-5.73418,38,621.409454
-7.419215,23,624.997907
-8.070047,33,628.39833
-7.955739,66,634.806431
-20.070405,336,671.302115
-7.328208,12,672.914909
-5.007694,117,685.021693
-11.534468,103,694.967534
-7.001,1,695.354436
-7.001,1,695.699722
-3.199937,76,704.456963
-2.899014,652,765.852942
-7.798221,652,831.222406
-8.218265,15,833.167452
-12.642697,552,890.155591
-8.139072,652,951.646944
-8.523646,652,1015.184922
-8.786797,652,1083.977525
-9.984953,86,1095.21375
-4.549982,652,1159.932881
-3.131841,652,1223.228426
-9.879508,29,1227.182147
-6.637865,652,1293.334998
-9.299231,652,1356.227903
-4.662609,652,1420.587574
-6.303099,66,1426.05377
-5.658115,652,1490.776921
-10.431695,636,1558.36141
-2.512405,652,1626.592226
-6.519458,652,1694.181146
-8.113017,652,1761.368596
-6.778364,9,1762.271853
-1.745752,652,1824.190616
-7.001,1,1845.553174
-7.011,2,1846.457313
-9.420659,652,1907.809829
-6.984076,243,1931.357675
-11.95795,515,1982.304306
-11.715246,583,2041.898616
-7.347702,4,2042.87315
-9.070879,263,2069.226706
-7.335255,5,2071.064831
-18.320744,652,2141.114921
-8.859471,652,2210.911197
-6.98045,56,2215.945705
-4.946456,371,2255.087277
0.693148,652,2325.868312
-8.057042,100,2336.711703
-5.151787,652,2401.188102
-7.001,1,2401.473186
0.348823,652,2466.092166
-2.314618,462,2512.559244
-2.459578,652,2578.250488
-2.128233,265,2604.025015
7.443213,652,2670.780739
-0.205438,131,2684.16945
-4.76103,587,2746.304507
-8.701759,81,2753.250006
-4.710946,152,2767.609902
-11.243734,80,2776.545145
-7.001,1,2776.901901
-1.377652,608,2838.555233
-7.393078,6,2839.290487
4.991958,286,2867.356218
2.432925,652,2940.1193
-4.101447,160,2955.66075
-7.001,1,2956.031583
-7.11861,287,2986.257477
-3.80633,117,2997.853007
3.334407,652,3061.240518
-8.072598,532,3119.921799
-2.205321,82,3127.761038
-0.59895,117,3140.969047
-8.793981,652,3207.453093
-7.293153,5,3209.528322
-8.577065,274,3234.910753
4.291594,652,3309.401426
-5.774266,127,3326.68695
-10.397781,38,3329.915179
0.200198,652,3399.156691
2.836359,623,3465.792137
-3.507053,64,3473.033676
-6.915297,3,3473.70619
-7.345121,133,3488.189116
-3.582465,53,3494.128875
1.728665,652,3561.220024
-7.496056,7,3562.575221
0.528829,202,3583.031402
17.257101,652,3653.605049
-10.086308,147,3669.170353
7.638405,237,3694.969455
-12.209887,102,3705.49297
-9.920469,85,3714.911868
-1.498373,652,3782.090931
-3.070692,100,3792.265539
-8.183844,89,3803.04579
-3.565591,334,3834.995204
-0.685604,282,3868.651707
-6.600339,48,3873.693922
16.907881,320,3905.822554
-6.465725,78,3913.375982
20.433497,541,3974.507311
-14.624277,360,4013.21291
-10.41268,51,4020.745516
3.295894,353,4056.653313
-7.732326,152,4072.922502
0.292812,183,4091.361528
-6.923522,238,4119.933181
-7.001,1,4120.301019
3.63827,188,4140.144041
-6.167492,10,4142.005335
5.807182,356,4181.588795
8.334331,419,4224.917958
-2.119119,57,4231.810244
-4.466562,599,4322.595765
27.912704,506,4380.292371
-3.526365,250,4404.368345
-7.001,1,4405.096002
-7.001,1,4405.917113
-7.001,1,4406.686873
-7.549265,13,4409.632921
-4.817475,126,4422.516195
-7.001,1,4423.373397
-7.021,3,4424.571001
-6.722291,652,4493.201998
