#{"env_id": null, "t_start": 1643349311.0341284}
r,l,t
-13.891666,501,53.325047
-7.629221,96,62.801984
-17.511427,185,86.71056
-33.464002,652,148.130313
-9.833331,108,160.195631
-8.790122,9,161.333168
-7.001,1,161.985163
-27.779297,389,200.670765
-8.286791,21,203.11435
-6.372858,63,208.072948
-7.034504,95,217.65582
-7.001,1,218.345468
-14.129655,121,232.291128
-7.001,1,232.983258
-8.990078,64,241.902802
-7.001,1,242.595299
-7.001,1,243.722452
-7.001,1,244.820037
-6.405331,6,246.506699
-15.577826,652,312.769099
-7.250932,4,313.673141
-7.001,1,314.406034
-12.433671,652,379.582669
-7.001,1,380.256307
-21.119472,652,446.721135
-16.574216,274,476.857687
-7.751685,6,478.14828
-10.506212,142,491.87858
-25.496652,652,554.048795
-9.301322,35,557.730916
0.851089,120,568.420843
-7.001,1,568.760999
-10.896423,267,595.924838
-7.797989,11,597.46428
-11.286563,110,608.17021
-7.331832,9,609.837122
-4.977135,105,618.204736
-7.001,1,618.532119
-8.8086,58,626.781813
-7.494564,14,628.087919
-9.040428,652,691.207557
-12.273583,74,699.647803
-4.190167,156,717.814448
-5.987265,103,727.878355
-10.207127,494,770.621056
-6.175902,127,784.213248
2.849398,575,838.300064
-0.321807,285,865.590484
-24.563788,334,899.543201
-7.001,1,901.176691
-9.499817,5,901.779667
-7.517773,5,902.370152
-10.887024,59,910.106624
-7.001,1,910.450421
-7.837948,25,914.018419
-1.475826,244,937.008193
-12.243854,652,1005.117848
-22.348886,652,1072.487446
-1.236864,57,1079.430719
-4.136151,42,1084.633369
-9.871699,41,1091.570307
5.968177,259,1117.690288
-6.153667,208,1135.536125
-12.022249,79,1142.865505
-7.898162,280,1171.725066
-7.141021,4,1172.920346
-3.237913,51,1181.98814
-3.945027,60,1187.743954
2.204378,652,1252.529314
0.501376,89,1263.485816
-6.751562,5,1264.868361
-11.142999,596,1328.344329
10.750024,451,1369.465607
-12.128719,249,1397.049196
-7.001,1,1398.292917
-15.502341,538,1455.799893
-4.040344,118,1468.661005
-5.315412,388,1505.086682
-2.124777,129,1519.478441
-6.538984,46,1525.482062
-8.282665,652,1600.143208
-2.853809,264,1629.462516
-6.124692,5,1630.582047
-7.001,1,1631.326232
-7.001,1,1631.635486
-7.001,1,1632.031706
-0.647029,215,1651.339207
-0.109184,202,1678.129875
2.501874,103,1697.149709
-7.001,1,1697.900993
-7.280011,16,1701.07385
-5.846499,16,1702.24573
-1.915226,43,1707.650482
-2.2029,49,1712.229731
-5.88501,65,1721.480845
2.079263,127,1737.455536
-7.001,1,1738.18858
-7.001,1,1739.769597
-7.001,1,1741.342461
-7.001,1,1741.599423
-6.992838,2,1742.020975
-6.336577,26,1746.368902
0.705566,491,1798.332031
-10.939318,336,1828.669839
-3.034848,13,1834.513049
-5.728336,5,1835.187196
-2.006738,168,1855.17507
-1.458081,207,1878.899204
-8.498801,10,1879.948864
-8.79338,136,1896.567923
-4.446017,159,1915.502262
-6.715382,10,1916.408338
