#{"env_id": null, "t_start": 1644339135.1353292}
r,l,t
-4.513562,273,33.913363
-7.001,1,35.510782
-23.593059,652,100.461722
-6.735509,3,101.116157
-7.001,1,101.411332
-11.625987,145,116.92713
-12.710534,140,132.146957
-5.386975,48,137.080986
-8.028029,25,141.34031
-7.001,1,141.635162
-7.001,1,142.620671
-24.469784,314,174.558877
-7.001,1,174.876889
-22.143546,319,204.332388
-5.992971,43,208.07569
-7.001,1,208.381057
-6.161139,44,214.320518
-9.850609,562,269.30393
-5.885525,28,271.925982
-8.929836,5,273.003366
-21.877747,652,331.44109
-7.639289,561,383.617886
-7.999717,37,388.100223
-18.949027,272,411.462259
-10.045836,158,427.753088
-7.001,1,428.051415
-10.342618,31,431.020163
-7.001,1,431.741124
-7.195475,39,438.699738
-20.383186,374,473.848133
-14.434699,270,497.484802
-6.238298,3,497.987553
-7.001,1,498.344457
-8.398036,177,514.696954
-8.030028,45,520.025226
-15.023753,79,527.502644
-7.001,1,528.129921
-7.023251,17,529.863149
-8.163169,37,534.288975
-23.191058,313,565.203277
-7.543933,2,565.642453
-12.931035,471,611.181679
-12.576897,97,619.883497
-8.74427,89,627.406919
-7.001,1,627.677275
-6.475402,121,640.268033
-19.004173,363,680.366876
-7.258431,2,681.805503
-17.480576,484,728.934992
-7.534872,2,729.752118
-26.016262,239,752.861969
-30.232385,652,816.587955
-3.06095,265,842.349173
-7.001,1,842.63798
-7.20457,4,844.412554
-12.386894,60,849.373564
-7.001,1,849.731316
-8.515556,9,850.546289
-12.469314,596,906.27506
-7.001,1,906.932854
-9.947034,251,929.255487
-6.660799,161,944.347399
-7.001,1,944.638994
-4.261561,89,953.2371
-7.001,1,954.0826
-7.161093,15,955.755952
-7.001,1,956.16017
-6.785207,7,956.920912
-6.55911,408,998.945765
-7.001,1,999.190235
-6.557533,652,1064.284147
-7.001369,3,1065.105793
-13.938905,314,1099.525064
-25.609973,135,1113.665008
-8.200538,3,1114.278856
-6.810891,23,1118.318294
-10.343722,104,1128.583028
-6.588292,45,1132.921264
-5.432184,47,1137.486314
-8.929255,652,1196.75004
-6.850908,3,1197.580643
-7.617028,17,1199.061699
-8.642257,5,1200.060357
-6.187898,22,1202.525317
-13.777985,246,1224.943225
-7.001,1,1226.213733
-7.027999,1,1226.93849
-30.781934,651,1296.832945
-9.891309,145,1308.883812
-6.84736,10,1310.299617
-3.470417,82,1319.324912
-8.272229,4,1319.849604
-5.387116,305,1350.009949
-7.169824,95,1359.793316
-6.245799,448,1405.474825
-14.105228,81,1413.053488
-6.152184,189,1434.610239
-7.001,1,1434.899316
-28.377908,566,1491.632032
-5.536498,97,1501.471648
-7.001,1,1501.797309
-13.831336,652,1562.90713
-13.303753,652,1622.753439
-12.891427,652,1690.525695
-10.824409,41,1693.803313
-38.487891,611,1750.705582
-18.123926,652,1815.176127
-10.432627,22,1819.555557
-30.552544,652,1883.629378
-7.655579,652,1947.426616
-5.873027,157,1961.312803
-9.306213,41,1964.650382
-18.017919,652,2035.957851
10.880345,18,2037.514682
2.739402,652,2099.154337
-7.001,1,2099.390945
-1.221554,164,2114.303227
