#{"env_id": null, "t_start": 1645000355.6639345}
r,l,t
-7.130363,16,5.521184
-5.505877,244,26.261123
-14.057246,652,73.38349
-8.724436,652,126.001398
-5.874364,85,131.583869
-10.102895,605,177.216798
-19.119514,652,231.032179
-17.869725,652,281.677648
-7.299864,3,282.538801
-21.72104,487,322.251265
-9.649836,355,353.927066
-7.426506,45,358.468609
13.551172,652,405.937896
-4.996576,652,458.327939
-8.904092,20,460.863319
-13.682401,652,512.870263
-19.106599,229,532.150986
-11.670815,236,549.429102
-7.789672,49,553.857103
7.790059,652,601.973067
-2.245626,652,650.480884
-7.001,1,650.804793
-3.782338,652,704.057739
-7.172401,5,704.663179
-7.001,1,705.473025
-2.656915,652,756.032442
-6.475057,444,791.49608
-5.364131,652,849.899856
-7.491417,14,851.385519
-7.001,1,852.903306
-7.564742,652,903.539257
-14.670915,652,953.608923
-7.251665,18,955.139276
-4.6637,652,1006.420143
-7.001,1,1006.68975
-7.001,1,1007.375775
-2.919571,652,1058.921537
-5.473214,538,1100.916324
-6.618657,12,1102.211496
-5.310031,28,1103.916579
-7.335441,651,1155.580339
-7.773977,108,1162.970297
-10.403225,579,1208.806767
-0.150209,175,1223.942974
-7.763371,172,1235.497771
-7.001,1,1236.184212
-2.329514,168,1251.586879
-0.084329,301,1276.520599
-9.097148,217,1293.84569
1.145309,544,1337.553045
-6.963119,8,1338.996961
-7.914009,120,1350.682994
-4.853095,321,1378.058423
-6.492458,213,1394.105639
-4.254106,438,1432.738201
-7.001,1,1433.40239
18.169608,652,1480.943002
-7.001,1,1481.156868
-7.001,1,1481.905997
-7.163414,16,1483.797654
-8.397653,36,1487.235772
-7.766923,23,1489.373396
-5.412342,13,1491.744315
-3.295961,85,1498.584492
4.209579,652,1554.689536
-9.149799,393,1584.828659
-2.819627,383,1616.44102
-5.540611,126,1627.633347
-7.001,1,1627.934147
-7.592253,55,1633.878021
4.140558,276,1661.678753
-5.001086,13,1664.286429
-7.001,1,1665.237293
-2.383482,652,1719.772668
24.820068,466,1758.571639
2.094372,276,1780.924639
-2.457,252,1803.380966
-6.050446,143,1816.226763
-2.862368,31,1818.588188
-7.154187,13,1819.470153
-2.582212,80,1825.471691
-7.001,1,1825.761401
5.961038,337,1853.430772
-3.378362,169,1867.927896
20.829233,275,1893.361683
-5.283297,208,1909.80487
-13.248006,652,1965.408708
-4.694228,138,1977.489771
-0.433777,87,1983.94584
-0.096027,146,1997.018798
-5.257915,10,1997.883381
2.158787,652,2049.100258
-7.001,1,2049.791265
-1.121219,81,2060.327536
1.290883,652,2111.045196
3.66306,462,2150.921724
-3.050024,462,2192.190294
-0.924424,102,2202.987832
1.516197,195,2220.268078
-5.314534,21,2221.863979
-2.801811,144,2234.951757
-6.726052,4,2235.754005
6.617543,478,2271.169356
2.492115,239,2292.593716
-2.720592,50,2297.418991
-6.66691,248,2317.42664
-6.716588,4,2317.987546
-3.47575,87,2325.714174
3.012499,132,2339.791136
-2.740117,105,2352.564327
-1.406901,74,2361.781456
-3.845559,12,2362.963285
17.804168,223,2380.457413
-7.287464,95,2388.256611
-1.092108,266,2412.69074
-6.396276,4,2413.152897
-7.001,1,2413.441327
18.812416,502,2456.781482
-3.300514,36,2459.343492
0.187731,320,2484.75745
-7.042921,174,2499.933833
-2.44971,29,2502.782634
-5.931938,652,2557.413797
-7.504558,13,2559.624387
-5.374094,22,2561.494969
-1.979784,652,2615.813017
11.644175,283,2641.338031
-7.001,1,2641.557337
-7.001,1,2641.898104
-0.233438,81,2649.649678
-5.199019,36,2653.033126
-8.724502,62,2657.1487
1.518149,97,2665.979529
9.022974,260,2688.072392
1.612576,87,2698.029208
-0.91662,180,2712.385515
-7.001,1,2713.382951
-7.001,1,2713.724135
29.122773,390,2748.193462
